ID,본문,소제목,제목,저자,annotator01,annotator02,annotator03,annotator04
4411,흐르는 샘물 위에 떠내린다.,,고향,김소월,"신기함/관심, 슬픔, 안타까움/실망","기대감, 불안/걱정, 불쌍함/연민, 슬픔, 신기함/관심, 아껴주는",신기함/관심,"슬픔, 안타까움/실망, 힘듦/지침"
4412,바라보면 하늘과 바닷물과,,고향,김소월,"신기함/관심, 기대감, 감동/감탄, 흐뭇함(귀여움/예쁨), 환영/호의","감동/감탄, 흐뭇함(귀여움/예쁨), 편안/쾌적, 행복, 아껴주는","기대감, 신기함/관심","감동/감탄, 기대감, 환영/호의"
4413,차 차 차 마주붙어 가는 곳에,,고향,김소월,"신기함/관심, 흐뭇함(귀여움/예쁨), 없음","신기함/관심, 즐거움/신남",부담/안_내킴,"기대감, 행복"
4414,고기잡이 배 돛 그림자,,고향,김소월,"신기함/관심, 없음","기대감, 기쁨, 불안/걱정, 신기함/관심, 즐거움/신남, 환영/호의","불쌍함/연민, 신기함/관심, 힘듦/지침","슬픔, 편안/쾌적, 아껴주는"
4415,어기엇차 디엇차 소리 들리는 듯.,,고향,김소월,"기대감, 즐거움/신남, 뿌듯함, 흐뭇함(귀여움/예쁨), 아껴주는","즐거움/신남, 감동/감탄, 고마움, 기대감, 신기함/관심, 환영/호의","깨달음, 놀람, 신기함/관심","슬픔, 아껴주는, 기대감"
4416,떠도는 몸 이거든,,고향,김소월,"불안/걱정, 깨달음, 서러움, 패배/자기혐오","힘듦/지침, 깨달음, 당황/난처, 부담/안_내킴, 서러움, 슬픔, 불평/불만, 안타까움/실망, 지긋지긋","불쌍함/연민, 안타까움/실망, 힘듦/지침","비장함, 슬픔, 힘듦/지침"
4417,고향이 탓이되어,,고향,김소월,"서러움, 슬픔, 아껴주는, 기대감, 환영/호의, 힘듦/지침","불평/불만, 서러움, 슬픔, 지긋지긋, 죄책감, 화남/분노","불쌍함/연민, 안타까움/실망","슬픔, 절망, 힘듦/지침"
4418,"부모님 기억,동생들 생각",,고향,김소월,"아껴주는, 불안/걱정, 신기함/관심","아껴주는, 환영/호의, 흐뭇함(귀여움/예쁨), 고마움, 서러움, 불안/걱정","불쌍함/연민, 서러움, 안타까움/실망","아껴주는, 안심/신뢰, 슬픔, 힘듦/지침"
4419,꿈에라도 항상 그 곳에서 뵈옵니다,,고향,김소월,"아껴주는, 기대감, 환영/호의","서러움, 슬픔, 아껴주는, 존경, 기대감, 환영/호의","기대감, 불쌍함/연민, 안타까움/실망, 아껴주는","슬픔, 서러움, 힘듦/지침, 안타까움/실망"
4420,고향이 마음속에 있습니까.,,고향,김소월,"불안/걱정, 환영/호의, 아껴주는, 흐뭇함(귀여움/예쁨), 깨달음","서러움, 슬픔, 아껴주는, 존경","불쌍함/연민, 안타까움/실망","깨달음, 슬픔, 서러움, 안타까움/실망"
4421,마음 속에 고향도 있습니다.,,고향,김소월,"아껴주는, 환영/호의","아껴주는, 고마움, 불쌍함/연민, 불안/걱정, 뿌듯함, 서러움, 편안/쾌적, 흐뭇함(귀여움/예쁨)","불쌍함/연민, 서러움, 기대감, 안타까움/실망","비장함, 슬픔, 기쁨, 행복, 환영/호의"
4422,제 넋이 고향에 있습니까.,,고향,김소월,"안타까움/실망, 아껴주는, 슬픔, 서러움, 기대감","서러움, 안타까움/실망, 불쌍함/연민, 의심/불신, 아껴주는","부담/안_내킴, 불쌍함/연민, 안타까움/실망","불안/걱정, 슬픔, 안타까움/실망, 힘듦/지침"
4423,고향에도 제 넋이 있습니다.,,고향,김소월,"아껴주는, 편안/쾌적, 안심/신뢰, 뿌듯함","서러움, 슬픔, 아껴주는, 안심/신뢰, 존경","서러움, 안타까움/실망, 불쌍함/연민","슬픔, 비장함, 힘듦/지침"
4424,물결에 떠내려 간 부퍙(浮萍)줄기,,고향,김소월,"신기함/관심, 안타까움/실망, 슬픔, 놀람","당황/난처, 불쌍함/연민, 불안/걱정, 서러움, 안타까움/실망, 아껴주는, 흐뭇함(귀여움/예쁨)","당황/난처, 부담/안_내킴, 서러움, 안타까움/실망","놀람, 당황/난처, 부담/안_내킴, 불쌍함/연민, 불안/걱정"
4425,자리잡을 새도 없네,,고향,김소월,"안타까움/실망, 어이없음, 불안/걱정, 서러움, 깨달음, 당황/난처","당황/난처, 서러움, 안타까움/실망, 어이없음","놀람, 부담/안_내킴, 불평/불만, 안타까움/실망",당황/난처
4426,제 자리로 돌아갈 날 있으랴마는,,고향,김소월,"안타까움/실망, 기대감, 슬픔, 비장함","불안/걱정, 서러움, 슬픔, 안타까움/실망, 절망, 패배/자기혐오, 힘듦/지침, 기대감","불쌍함/연민, 불평/불만, 불안/걱정, 안타까움/실망","슬픔, 안타까움/실망, 의심/불신, 힘듦/지침"
4427,괴로운 바다 이 세상의 사람인지라 돌아가리,,고향,김소월,"서러움, 슬픔, 환영/호의, 깨달음, 비장함","서러움, 슬픔, 지긋지긋","당황/난처, 부담/안_내킴, 안타까움/실망, 힘듦/지침","슬픔, 비장함, 힘듦/지침"
4428,고향을 잊었노라 하는 사람들,,고향,김소월,"서러움, 안타까움/실망, 슬픔, 불쌍함/연민","불쌍함/연민, 안타까움/실망, 힘듦/지침, 슬픔","부담/안_내킴, 불쌍함/연민, 안타까움/실망","불쌍함/연민, 서러움, 슬픔, 안타까움/실망"
4429,나를 버린 고향이라 하는 사람들,,고향,김소월,"안타까움/실망, 증오/혐오, 의심/불신, 부담/안_내킴, 불안/걱정, 지긋지긋, 패배/자기혐오","불쌍함/연민, 안타까움/실망","증오/혐오, 화남/분노, 부담/안_내킴","불평/불만, 증오/혐오, 슬픔"
4430,죽어서만 천애일방(天涯一方) 헤매지 말고,,고향,김소월,"안타까움/실망, 불안/걱정, 불쌍함/연민","불쌍함/연민, 서러움, 슬픔, 아껴주는, 안타까움/실망","부담/안_내킴, 불평/불만, 안타까움/실망","비장함, 슬픔, 안타까움/실망"
4431,넋이라도 있거들랑 고향으로 네 가거라.,,고향,김소월,"환영/호의, 아껴주는, 불쌍함/연민","불쌍함/연민, 아껴주는, 서러움","불쌍함/연민, 안타까움/실망","불쌍함/연민, 슬픔"
4432,백양가지에 우는 접동은 깊은 밤의 못물에,,공원의 밤,김소월,"흐뭇함(귀여움/예쁨), 슬픔, 환영/호의, 서러움, 아껴주는, 불쌍함/연민","흐뭇함(귀여움/예쁨), 불쌍함/연민, 신기함/관심","불쌍함/연민, 불안/걱정, 서러움, 안타까움/실망","불안/걱정, 슬픔, 어이없음, 힘듦/지침"
4433,어렷하기도 하며 아득하기도 하여라.,,공원의 밤,김소월,"불안/걱정, 불쌍함/연민, 깨달음, 신기함/관심, 흐뭇함(귀여움/예쁨), 환영/호의","불안/걱정, 감동/감탄, 서러움, 안타까움/실망","기대감, 불쌍함/연민, 서러움, 안타까움/실망","불안/걱정, 힘듦/지침, 슬픔, 안타까움/실망"
4434,어둡게 또는 소리없이 가늘게,,공원의 밤,김소월,"공포/무서움, 의심/불신, 불안/걱정, 지긋지긋","공포/무서움, 불안/걱정, 의심/불신","공포/무서움, 놀람, 당황/난처, 부담/안_내킴, 불안/걱정, 절망","경악, 공포/무서움, 불안/걱정"
4435,줄줄의 버드나무에서는 비가 쌓일때.,,공원의 밤,김소월,"놀람, 기대감, 신기함/관심","불쌍함/연민, 불안/걱정, 서러움, 슬픔, 신기함/관심, 편안/쾌적","깨달음, 불안/걱정, 없음","신기함/관심, 불안/걱정"
4436,푸른 하늘은 고요히 내려 갈리던 그 보드러운 눈결!,,공원의 밤,김소월,"감동/감탄, 신기함/관심, 아껴주는, 기쁨, 행복, 편안/쾌적","감동/감탄, 기쁨, 신기함/관심, 아껴주는, 흐뭇함(귀여움/예쁨), 환영/호의","감동/감탄, 기대감, 기쁨, 신기함/관심","감동/감탄, 편안/쾌적, 행복"
4437,"이제, 검은 내는 떠돌아오라 비구름이 되어라.",,공원의 밤,김소월,"비장함, 깨달음, 환영/호의, 힘듦/지침, 서러움, 슬픔","기대감, 비장함, 서러움, 신기함/관심, 힘듦/지침, 패배/자기혐오, 불쌍함/연민, 아껴주는, 지긋지긋","불평/불만, 비장함","경악, 당황/난처, 놀람, 깨달음, 비장함, 서러움, 슬픔"
4438,아아 나는 우노라 그 옛적의 내사람!,,공원의 밤,김소월,"서러움, 슬픔, 안타까움/실망, 아껴주는, 깨달음, 감동/감탄","감동/감탄, 고마움, 환영/호의, 불평/불만, 서러움, 슬픔, 아껴주는, 안타까움/실망","부담/안_내킴, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망","비장함, 슬픔, 서러움, 힘듦/지침"
4439,생각의 끝에는 잠이 오고,,구면,김소월,"힘듦/지침, 지긋지긋","편안/쾌적, 서러움, 귀찮음, 재미없음",재미없음,"서러움, 슬픔, 절망, 힘듦/지침"
4440,그림의 끝에는 잊음이 와라,,구면,김소월,"기대감, 슬픔, 서러움, 비장함, 부담/안_내킴, 환영/호의","서러움, 슬픔, 안타까움/실망, 지긋지긋, 절망, 불평/불만",놀람,"슬픔, 힘듦/지침, 불안/걱정"
4441,그대여 말 마라 이후로 우리,,구면,김소월,"비장함, 아껴주는, 환영/호의, 안심/신뢰","서러움, 슬픔, 기대감, 불안/걱정, 비장함, 아껴주는, 안심/신뢰","비장함, 불평/불만","불안/걱정, 서러움, 슬픔, 절망, 힘듦/지침"
4442,옛낯 없는 설움을 모르리,,구면,김소월,"비장함, 서러움, 슬픔, 깨달음","당황/난처, 불안/걱정, 서러움, 안타까움/실망","불쌍함/연민, 불평/불만, 서러움, 안타까움/실망","깨달음, 비장함, 슬픔, 안타까움/실망"
4443,"땀, 땀, 여름볕에 땀 흘리며",,기분전환,김소월,"힘듦/지침, 뿌듯함","힘듦/지침, 지긋지긋, 부담/안_내킴, 불쌍함/연민, 고마움","부담/안_내킴, 힘듦/지침","감동/감탄, 기쁨, 환영/호의, 행복, 즐거움/신남"
4444,"호미 들고 밭고랑 타고 있어도,",,기분전환,김소월,"기대감, 불안/걱정, 안타까움/실망","힘듦/지침, 기대감, 뿌듯함, 재미없음, 지긋지긋","불쌍함/연민, 힘듦/지침","기대감, 비장함, 불안/걱정, 부담/안_내킴, 당황/난처"
4445,"어디선지 종달새 울어만 온다,",,기분전환,김소월,"슬픔, 서러움, 고마움, 깨달음, 불안/걱정, 힘듦/지침","불쌍함/연민, 불안/걱정, 서러움, 슬픔, 신기함/관심","놀람, 기대감, 신기함/관심","편안/쾌적, 환영/호의, 감동/감탄, 기쁨"
4446,"헌출한 하늘이 보입니다요, 보입니다요.",,기분전환,김소월,"신기함/관심, 환영/호의, 흐뭇함(귀여움/예쁨), 감동/감탄","감동/감탄, 기쁨, 뿌듯함, 신기함/관심, 아껴주는, 즐거움/신남, 편안/쾌적","기쁨, 기대감, 신기함/관심","감동/감탄, 기대감, 기쁨, 신기함/관심, 즐거움/신남, 행복"
4447,"사랑, 사랑, 사랑에, 어스름을 맞은 님",,기분전환,김소월,"아껴주는, 기대감","흐뭇함(귀여움/예쁨), 환영/호의, 아껴주는, 존경, 불안/걱정, 불쌍함/연민, 슬픔","기대감, 기쁨, 감동/감탄, 아껴주는, 행복","감동/감탄, 기대감, 아껴주는, 신기함/관심"
4448,"오나 오나 하면서, 젊은 밤을 한소시 조바심할 때,",,기분전환,김소월,"불안/걱정, 기대감, 의심/불신","기대감, 불안/걱정, 아껴주는, 의심/불신, 서러움, 슬픔","기대감, 안타까움/실망","기대감, 불안/걱정, 슬픔, 힘듦/지침"
4449,밟고 섰는 다리 아래 흐르는 강(江)물 !,,기분전환,김소월,"비장함, 감동/감탄, 고마움, 깨달음, 환영/호의","신기함/관심, 비장함, 감동/감탄, 없음","기대감, 기쁨, 신기함/관심","감동/감탄, 기대감, 기쁨, 즐거움/신남, 행복"
4450,"강(江)물에 새벽빛이 어립니다요, 어립니다요.",,기분전환,김소월,"불안/걱정, 편안/쾌적, 흐뭇함(귀여움/예쁨), 신기함/관심, 감동/감탄, 깨달음, 아껴주는","흐뭇함(귀여움/예쁨), 서러움, 슬픔, 아껴주는, 안타까움/실망","기대감, 기쁨, 신기함/관심","감동/감탄, 기쁨, 신기함/관심, 아껴주는, 환영/호의, 흐뭇함(귀여움/예쁨)"
4451,"저 행길을 사람 하나 차츰 걸어온다, 너풋너풋",,기원,김소월,"신기함/관심, 환영/호의, 기대감","신기함/관심, 기대감, 환영/호의","놀람, 신기함/관심","기쁨, 기대감, 편안/쾌적, 행복"
4452,"흰 적삼 흰 바지다, 빨간 줄 센 하올 목에 걸고",,기원,김소월,비장함,"공포/무서움, 불쌍함/연민, 불안/걱정, 비장함, 서러움",불쌍함/연민,"비장함, 슬픔"
4453,오는 것만 보고라도 누군고 누군고 관심하던,,기원,김소월,"기대감, 신기함/관심, 불안/걱정, 아껴주는","기대감, 신기함/관심, 불쌍함/연민, 안타까움/실망, 아껴주는, 서러움, 슬픔",신기함/관심,"신기함/관심, 기대감"
4454,"그 행여나 이제는 없다, 아아 내가 왜 이렇게 되었노!",,기원,김소월,"안타까움/실망, 서러움","절망, 지긋지긋, 패배/자기혐오, 한심함, 화남/분노, 힘듦/지침, 서러움, 슬픔","당황/난처, 부담/안_내킴, 불평/불만, 서러움, 안타까움/실망, 절망","경악, 공포/무서움, 깨달음, 당황/난처, 부끄러움, 불안/걱정, 불평/불만, 슬픔"
4455,"오는 공일날 테니스 시아이, 반공일날 밤은 웅변회",,기원,김소월,"기대감, 깨달음, 신기함/관심, 없음","즐거움/신남, 기대감, 기쁨, 귀찮음, 부담/안_내킴","부담/안_내킴, 불평/불만","부담/안_내킴, 불안/걱정, 슬픔, 절망"
4456,"더워서 땀이 쫄쫄 난다고 여름날 수영 춥디추운 겨울 등산,",,기원,김소월,"즐거움/신남, 뿌듯함, 기대감, 흐뭇함(귀여움/예쁨), 환영/호의, 없음","힘듦/지침, 즐거움/신남, 슬픔, 행복","기쁨, 즐거움/신남","불안/걱정, 불평/불만, 힘듦/지침, 슬픔"
4457,그 무서운 이야기만 골라가며 듣고난 뒤야 집으로 돌아오는 시담회의 밤!,,기원,김소월,"공포/무서움, 의심/불신, 불안/걱정, 놀람, 깨달음, 당황/난처","공포/무서움, 불평/불만, 안타까움/실망, 어이없음, 의심/불신","공포/무서움, 부담/안_내킴, 불안/걱정","경악, 부담/안_내킴, 불평/불만, 안타까움/실망, 의심/불신, 증오/혐오, 힘듦/지침"
4458,호기도 용기도 인제는 없다. 아아 내가 왜 이렇게 되었노!,,기원,김소월,"한심함, 죄책감, 짜증, 절망, 패배/자기혐오, 깨달음, 불평/불만, 불안/걱정","부끄러움, 당황/난처, 불평/불만, 서러움, 슬픔, 안타까움/실망, 절망, 패배/자기혐오, 한심함, 깨달음","경악, 당황/난처, 부담/안_내킴, 불쌍함/연민, 불평/불만, 패배/자기혐오, 화남/분노","경악, 불안/걱정, 서러움, 패배/자기혐오, 절망"
4459,"동양 도―교―의 긴자는 밤의 귀속 잘하는 네온사인 눈띄 좇아가고 싶어,",,기원,김소월,"기대감, 깨달음, 신기함/관심","기대감, 서러움, 패배/자기혐오","기대감, 신기함/관심","불안/걱정, 신기함/관심"
4460,아무렇게라도 해서 발 편하고 볼씨 있는 여름 신 한 켤레 사야만 된다,,기원,김소월,"힘듦/지침, 비장함, 기대감, 불평/불만, 즐거움/신남, 아껴주는","서러움, 비장함, 힘듦/지침, 안타까움/실망, 슬픔, 패배/자기혐오, 기대감","부담/안_내킴, 불안/걱정, 불평/불만, 슬픔, 힘듦/지침","기대감, 즐거움/신남"
4461,"벌어서 땀 흘리고 남은 돈, 그만이나, 친구 위해 아끼우고 말던",,기원,김소월,"아껴주는, 깨달음, 뿌듯함, 비장함","서러움, 아껴주는, 힘듦/지침, 슬픔, 뿌듯함","기대감, 뿌듯함, 아껴주는, 안심/신뢰, 힘듦/지침","슬픔, 아껴주는, 안심/신뢰"
4462,"웃기기도 선뜻도 인제는 없다, 아아 내가 왜 이렇게 되었노!",,기원,김소월,"절망, 한심함, 패배/자기혐오, 안타까움/실망, 힘듦/지침, 재미없음, 부담/안_내킴, 귀찮음","절망, 서러움, 슬픔, 불평/불만, 당황/난처, 깨달음, 지긋지긋, 패배/자기혐오, 힘듦/지침","당황/난처, 부담/안_내킴, 불안/걱정, 불평/불만, 서러움, 슬픔, 안타까움/실망, 절망","당황/난처, 부담/안_내킴, 절망, 재미없음, 안타까움/실망"
4463,"컵에는 부랏슈와 라이옹, 대야에 사봉 담아들고",,기원,김소월,"비장함, 없음, 기대감","기대감, 귀찮음, 없음","당황/난처, 없음",없음
4464,"뒤뜰에 나서면, 저 봐! 우물지붕에 새벽달. 몸 깨끗이 깨끗이 씻고,",,기원,김소월,"기대감, 즐거움/신남, 기쁨, 환영/호의, 감동/감탄, 뿌듯함, 흐뭇함(귀여움/예쁨)","흐뭇함(귀여움/예쁨), 환영/호의, 감동/감탄, 기쁨, 행복, 신기함/관심, 아껴주는","기대감, 기쁨, 신기함/관심","기대감, 편안/쾌적, 환영/호의, 행복"
4465,단정히 꿇어앉아 눈 감고 빌고 빌던 해 뜨도록,,기원,김소월,"기대감, 비장함, 감동/감탄, 환영/호의, 아껴주는","기대감, 불안/걱정, 아껴주는, 안심/신뢰, 의심/불신, 서러움, 슬픔",비장함,"비장함, 슬픔, 아껴주는"
4466,비난수를 내 마음에다 도로 줍소사! 아아 내가 왜 이렇게 되었노!,,기원,김소월,"한심함, 죄책감, 안타까움/실망, 불안/걱정, 불평/불만, 경악, 당황/난처, 짜증, 화남/분노","경악, 깨달음, 당황/난처, 부끄러움, 불안/걱정, 서러움, 슬픔, 안타까움/실망, 패배/자기혐오, 한심함","당황/난처, 경악, 부담/안_내킴, 불안/걱정, 서러움, 안타까움/실망","안타까움/실망, 패배/자기혐오, 절망, 화남/분노, 증오/혐오"
4467,강 위에 다리는 놓였던 것을!,,기회,김소월,"놀람, 의심/불신, 불안/걱정, 안타까움/실망, 깨달음","깨달음, 고마움, 기대감, 감동/감탄, 기쁨, 안심/신뢰, 한심함, 어이없음","불평/불만, 안타까움/실망","깨달음, 비장함"
4468,건너가지 않고서 바재는 동안,,기회,김소월,"당황/난처, 부담/안_내킴","당황/난처, 불안/걱정, 서러움, 슬픔, 안타까움/실망","당황/난처, 부담/안_내킴","불안/걱정, 힘듦/지침"
4469,<때>의 거친 물결은 볼 새도 없이,,기회,김소월,"놀람, 기대감, 당황/난처, 안타까움/실망","당황/난처, 불안/걱정, 서러움, 공포/무서움","부담/안_내킴, 안타까움/실망, 놀람","당황/난처, 불안/걱정, 불평/불만, 안타까움/실망"
4470,다리를 무너치고 흘렀습니다.,,기회,김소월,"슬픔, 서러움, 안타까움/실망","슬픔, 서러움, 절망, 안타까움/실망","놀람, 당황/난처, 부담/안_내킴","비장함, 슬픔, 절망"
4471,먼저 건넌 당신이 어서 오라고,,기회,김소월,"환영/호의, 신기함/관심, 놀람, 불안/걱정, 아껴주는, 비장함","부담/안_내킴, 환영/호의, 경악, 기쁨, 불안/걱정, 아껴주는, 안심/신뢰, 슬픔","기대감, 기쁨, 신기함/관심","기대감, 기쁨, 즐거움/신남"
4472,그만큼 부르실 때 왜 못 갔던가!,,기회,김소월,"안타까움/실망, 죄책감, 서러움, 깨달음, 패배/자기혐오, 절망","당황/난처, 부끄러움, 불쌍함/연민, 불평/불만, 서러움, 슬픔, 안타까움/실망, 어이없음, 죄책감, 패배/자기혐오","불평/불만, 안타까움/실망, 서러움","당황/난처, 깨달음, 서러움, 슬픔, 부끄러움, 안타까움/실망, 힘듦/지침"
4473,"당신과 나는 그만 이편 저편서,",,기회,김소월,"슬픔, 서러움, 안타까움/실망, 불안/걱정, 의심/불신","안타까움/실망, 당황/난처, 부담/안_내킴, 서러움","부담/안_내킴, 불쌍함/연민, 안타까움/실망","기대감, 슬픔, 아껴주는"
4474,때때로 울며 바랄 뿐입니다려.,,기회,김소월,"서러움, 기대감, 슬픔, 힘듦/지침, 안타까움/실망, 패배/자기혐오, 죄책감","슬픔, 기대감, 불안/걱정","당황/난처, 부담/안_내킴, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망","불안/걱정, 서러움, 슬픔, 힘듦/지침"
4475,"가랴 말랴 하는 길이었길래, 차부조차 더디인 것이 아니에요.",,길차부,김소월,"불안/걱정, 당황/난처, 부담/안_내킴, 지긋지긋","안타까움/실망, 불안/걱정, 불평/불만, 당황/난처, 서러움, 짜증","당황/난처, 부끄러움, 불평/불만","당황/난처, 부담/안_내킴, 불안/걱정, 불평/불만, 슬픔"
4476,"안타까워라. 일과 일은 꼬리를 맞물고, 생기는 것 같습니다그려. 그렇지않고야 이 길이 왜 이다지 더디일까요.",,길차부,김소월,"안타까움/실망, 당황/난처, 불안/걱정, 불평/불만, 서러움, 지긋지긋","안타까움/실망, 깨달음, 당황/난처, 불평/불만","부담/안_내킴, 불안/걱정, 불평/불만, 안타까움/실망, 의심/불신","경악, 당황/난처, 부담/안_내킴, 불안/걱정, 불평/불만, 절망, 어이없음"
4477,"어렷두렷하였달지, 저리도 해도 산머리에서 바재이고 있습니다. 그런데 왜, 아직아직 내 조그마한 가슴속에는 당신한테 일러둘 말이 남아있나요,",,길차부,김소월,"슬픔, 서러움, 기대감, 아껴주는, 힘듦/지침, 지긋지긋","불안/걱정, 서러움, 슬픔, 아껴주는, 안타까움/실망","불쌍함/연민, 서러움, 슬픔, 안타까움/실망, 아껴주는","깨달음, 놀람, 불안/걱정, 슬픔, 서러움, 안타까움/실망"
4478,"오, 나의 애인이여.",,길차부,김소월,"아껴주는, 고마움, 감동/감탄, 기대감, 즐거움/신남, 기쁨, 행복, 존경, 비장함","아껴주는, 감동/감탄, 고마움, 기쁨, 불쌍함/연민, 불안/걱정, 존경, 행복, 흐뭇함(귀여움/예쁨)","기대감, 기쁨, 아껴주는, 행복","감동/감탄, 기쁨, 아껴주는, 흐뭇함(귀여움/예쁨)"
4479,나를 어서 놓아 보내주세요. 당신의 가슴속이 나를 꽉 붙잡습니다.,,길차부,김소월,"아껴주는, 서러움, 슬픔, 부담/안_내킴, 힘듦/지침, 지긋지긋","당황/난처, 비장함, 서러움, 슬픔, 아껴주는","당황/난처, 부담/안_내킴, 불쌍함/연민, 서러움, 안타까움/실망","서러움, 슬픔, 힘듦/지침, 절망"
4480,"길심매고 감방하는 동안, 날은 어둡습니다. 야속도 해라,아주아주 내 조그만 몸은 당신의 소용대로 내어맡겨도, 당신의 맘에는 기쁘겠지요. 아직아직 당신한테 일러둘 말이 내 조그만 가슴에 남아 있는 줄을 당신이야 왜 모를라구요. 당신의 가슴속이 나를 꽉 붙잡습니다.",,길차부,김소월,"안타까움/실망, 서러움, 아껴주는, 불안/걱정, 비장함, 깨달음","서러움, 슬픔, 아껴주는, 안타까움/실망, 흐뭇함(귀여움/예쁨), 화남/분노","당황/난처, 불쌍함/연민, 불안/걱정, 서러움, 안타까움/실망","불안/걱정, 불평/불만, 슬픔, 서러움, 안타까움/실망"
4481,"그러나 오, 나의 애인이여.",,길차부,김소월,"아껴주는, 감동/감탄, 비장함, 환영/호의, 기대감","환영/호의, 아껴주는, 존경, 흐뭇함(귀여움/예쁨), 감동/감탄, 비장함","기대감, 기쁨, 감동/감탄, 아껴주는, 환영/호의","감동/감탄, 기쁨, 아껴주는, 환영/호의, 흐뭇함(귀여움/예쁨)"
4482,신재령에도 나무리벌,,나무리벌 노래,김소월,"신기함/관심, 기대감","감동/감탄, 기대감, 없음, 신기함/관심",없음,"깨달음, 비장함, 신기함/관심"
4483,물도 많고,,나무리벌 노래,김소월,"감동/감탄, 기대감, 기쁨, 놀람, 슬픔, 편안/쾌적, 환영/호의","감동/감탄, 기대감, 기쁨, 불안/걱정, 즐거움/신남, 환영/호의",없음,"절망, 힘듦/지침, 슬픔"
4484,땅 좋은 곳,,나무리벌 노래,김소월,"환영/호의, 편안/쾌적, 행복, 기대감, 기쁨","기대감, 기쁨, 뿌듯함, 행복, 흐뭇함(귀여움/예쁨), 고마움, 환영/호의","기대감, 기쁨, 즐거움/신남","감동/감탄, 기쁨, 흐뭇함(귀여움/예쁨), 행복"
4485,만주 봉천은 못 살 곳,,나무리벌 노래,김소월,"안타까움/실망, 불평/불만, 지긋지긋, 한심함, 힘듦/지침, 깨달음","불평/불만, 서러움, 부담/안_내킴, 안타까움/실망, 지긋지긋, 짜증, 우쭐댐/무시함, 힘듦/지침","안타까움/실망, 불평/불만, 부담/안_내킴","경악, 부담/안_내킴, 불안/걱정, 슬픔"
4486,왜 왔느냐,,나무리벌 노래,김소월,"의심/불신, 놀람, 당황/난처","귀찮음, 짜증, 부담/안_내킴, 지긋지긋, 힘듦/지침, 의심/불신, 어이없음","놀람, 의심/불신","경악, 공포/무서움, 당황/난처, 부담/안_내킴, 불안/걱정"
4487,자곡자곡이 피땀이라,,나무리벌 노래,김소월,"불쌍함/연민, 깨달음, 당황/난처, 서러움, 비장함, 슬픔, 고마움, 힘듦/지침","힘듦/지침, 불쌍함/연민, 서러움, 슬픔, 깨달음, 안타까움/실망","안타까움/실망, 불쌍함/연민, 힘듦/지침","경악, 깨달음, 놀람, 불안/걱정, 슬픔, 힘듦/지침"
4488,고향산천이 어디메냐,,나무리벌 노래,김소월,"불안/걱정, 신기함/관심, 당황/난처, 슬픔, 서러움","서러움, 슬픔, 안타까움/실망, 불평/불만, 힘듦/지침","기대감, 불쌍함/연민, 서러움, 안타까움/실망","불안/걱정, 당황/난처, 슬픔"
4489,황해도,,나무리벌 노래,김소월,없음,없음,없음,없음
4490,신재령,,나무리벌 노래,김소월,"신기함/관심, 없음",없음,없음,"신기함/관심, 환영/호의, 비장함"
4491,두 몸이 김매며 살았지요,,나무리벌 노래,김소월,"아껴주는, 환영/호의, 안심/신뢰, 기쁨, 행복","아껴주는, 불쌍함/연민, 힘듦/지침, 행복, 고마움","기대감, 기쁨, 신기함/관심, 아껴주는","슬픔, 흐뭇함(귀여움/예쁨), 비장함"
4492,올벼 논에 다은 물은,,나무리벌 노래,김소월,"기대감, 뿌듯함, 없음","신기함/관심, 기대감, 뿌듯함, 환영/호의",신기함/관심,"신기함/관심, 아껴주는, 편안/쾌적, 즐거움/신남"
4493,출렁출렁,,나무리벌 노래,김소월,"신기함/관심, 즐거움/신남, 없음","신기함/관심, 즐거움/신남, 불안/걱정",없음,"기대감, 즐거움/신남"
4494,벼 자랐나,,나무리벌 노래,김소월,"신기함/관심, 기대감","기대감, 기쁨, 불안/걱정, 신기함/관심, 아껴주는, 의심/불신, 흐뭇함(귀여움/예쁨)","기대감, 신기함/관심","기대감, 신기함/관심, 아껴주는"
4495,신재령에도,,나무리벌 노래,김소월,"신기함/관심, 없음","힘듦/지침, 없음",없음,"기대감, 신기함/관심, 행복"
4496,나무리벌,,나무리벌 노래,김소월,"없음, 신기함/관심",없음,없음,편안/쾌적
4497,"휘둘니 산을 넘고,",,낭인의 봄,김소월,"즐거움/신남, 없음","힘듦/지침, 기대감","놀람, 신기함/관심","당황/난처, 불안/걱정, 부담/안_내킴, 안타까움/실망, 힘듦/지침"
4498,"굽어진 물을 건너,",,낭인의 봄,김소월,"기대감, 즐거움/신남, 비장함, 없음, 힘듦/지침","기대감, 즐거움/신남","기대감, 기쁨, 신기함/관심","기대감, 기쁨, 즐거움/신남, 신기함/관심, 행복, 환영/호의"
4499,푸른 풀 붉은 꽃에,,낭인의 봄,김소월,"흐뭇함(귀여움/예쁨), 신기함/관심, 없음","흐뭇함(귀여움/예쁨), 환영/호의","기대감, 기쁨, 신기함/관심","감동/감탄, 신기함/관심, 아껴주는, 안심/신뢰, 흐뭇함(귀여움/예쁨), 환영/호의"
